gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,delta.pct,exp.group1,exp.group2,ensembl_id,chromosome,strand,gene_biotype,membrane_protein,description
MIR22HG,1.68E-28,-0.629397567,0.026,0.35,6.41E-24,-0.324,0.058867243,0.637981755,ENSG00000186594,17,-,lncRNA,no,MIR22 host gene
YBX1,1.71E-28,-1.120032419,0.359,0.722,6.50E-24,-0.363,1.716116725,4.903530128,ENSG00000065978,1,+,protein_coding,no,Y-box binding protein 1
MIR222HG,2.14E-28,-0.80762221,0.074,0.449,8.18E-24,-0.375,0.19499903,1.091635783,ENSG00000270069,X,-,lncRNA,no,miR222/221 cluster host gene
NABP1,3.12E-28,-0.876996673,0.046,0.388,1.19E-23,-0.342,0.074096253,0.97262942,ENSG00000173559,2,+,protein_coding,no,nucleic acid binding protein 1
ANXA1,3.22E-28,-2.663414339,0.108,0.447,1.23E-23,-0.339,0.256398893,6.959671634,ENSG00000135046,9,+,protein_coding,yes,annexin A1
NR4A2,3.38E-28,-1.020816314,0.046,0.385,1.29E-23,-0.339,0.07191138,1.174979722,ENSG00000153234,2,-,protein_coding,no,nuclear receptor subfamily 4 group A member 2
TTR,3.76E-28,-1.101017187,0.003,0.302,1.43E-23,-0.299,0.002935301,1.15135518,ENSG00000118271,18,+,protein_coding,no,transthyretin
HEXIM1,4.16E-28,-1.158259737,0.148,0.505,1.59E-23,-0.357,0.261283988,1.815035046,ENSG00000186834,17,+,protein_coding,no,HEXIM P-TEFb complex subunit 1
DDX17,5.26E-28,1.310709523,0.869,0.807,2.01E-23,0.062,14.73167035,5.341791438,ENSG00000100201,22,-,protein_coding,no,DEAD-box helicase 17
SEMA4A,6.90E-28,-0.538994032,0.014,0.329,2.63E-23,-0.315,0.031649996,0.498945187,ENSG00000196189,1,+,protein_coding,yes,semaphorin 4A
CYP1B1,1.02E-27,-1.123052844,0.125,0.516,3.90E-23,-0.391,0.622317782,2.533527871,ENSG00000138061,2,-,protein_coding,no,cytochrome P450 family 1 subfamily B member 1
THBD,1.20E-27,-1.203799738,0.188,0.572,4.57E-23,-0.384,0.678733759,2.86688854,ENSG00000178726,20,-,protein_coding,yes,thrombomodulin
ATF4,1.74E-27,-1.147658178,0.296,0.644,6.64E-23,-0.348,0.866837834,3.136053333,ENSG00000128272,22,+,protein_coding,no,activating transcription factor 4
C1R,1.95E-27,-0.902511987,0.111,0.489,7.43E-23,-0.378,0.28260538,1.397597279,ENSG00000159403,12,-,protein_coding,no,complement C1r
AMD1,2.07E-27,-0.987079629,0.214,0.588,7.89E-23,-0.374,0.619123214,2.20937508,ENSG00000123505,6,+,protein_coding,no,adenosylmethionine decarboxylase 1
SOD2,5.55E-27,-1.795986525,0.339,0.66,2.12E-22,-0.321,1.586657099,7.982240435,ENSG00000112096,6,-,protein_coding,no,superoxide dismutase 2
SOD2,5.55E-27,-1.795986525,0.339,0.66,2.12E-22,-0.321,1.586657099,7.982240435,ENSG00000285441,6,-,protein_coding,no,superoxide dismutase 2
ACTG1,6.79E-27,-1.457321586,0.618,0.845,2.59E-22,-0.227,4.725574694,14.7223187,ENSG00000184009,17,-,protein_coding,yes,actin gamma 1
DUSP5,7.14E-27,-0.951745958,0.125,0.508,2.73E-22,-0.383,0.510243515,1.921131185,ENSG00000138166,10,+,protein_coding,no,dual specificity phosphatase 5
SRSF3,1.06E-26,-0.953774703,0.379,0.725,4.05E-22,-0.346,1.293631172,3.442611914,ENSG00000112081,6,+,protein_coding,no,serine and arginine rich splicing factor 3
FOSL2,1.20E-26,-0.918857966,0.16,0.548,4.56E-22,-0.388,0.458103917,1.756717645,ENSG00000075426,2,+,protein_coding,no,"FOS like 2, AP-1 transcription factor subunit"
CYCS,1.27E-26,-0.852422625,0.174,0.543,4.84E-22,-0.369,0.446814036,1.612266568,ENSG00000172115,7,-,protein_coding,no,"cytochrome c, somatic"
HLA-DRB1,1.41E-26,-1.190043216,0.436,0.759,5.37E-22,-0.323,2.090571563,6.051435022,ENSG00000196126,6,-,protein_coding,yes,"major histocompatibility complex, class II, DR beta 1"
SNHG5,2.10E-26,-1.006077184,0.333,0.717,8.01E-22,-0.384,1.297076231,3.613545607,ENSG00000203875,6,-,lncRNA,no,small nucleolar RNA host gene 5
ACKR1,2.78E-26,-1.326304201,0.268,0.666,1.06E-21,-0.398,3.402881885,10.04064339,ENSG00000213088,1,+,protein_coding,yes,atypical chemokine receptor 1 (Duffy blood group)
TMSB10,3.49E-26,-0.936147886,0.766,0.936,1.33E-21,-0.17,16.59239956,32.66151624,ENSG00000034510,2,+,protein_coding,no,thymosin beta 10
TUBB4B,3.50E-26,-1.337171917,0.188,0.54,1.34E-21,-0.352,0.497102128,2.782511733,ENSG00000188229,9,+,protein_coding,no,tubulin beta 4B class IVb
LDHA,4.74E-26,-1.175523527,0.293,0.634,1.81E-21,-0.341,0.884880893,3.257471546,ENSG00000134333,11,+,protein_coding,no,lactate dehydrogenase A
TOB1,4.87E-26,-0.781121814,0.103,0.457,1.86E-21,-0.354,0.21979199,1.096171797,ENSG00000141232,17,-,protein_coding,no,"transducer of ERBB2, 1"
GAPDH,5.36E-26,-1.224574273,0.558,0.797,2.04E-21,-0.239,3.488779703,9.489671316,ENSG00000111640,12,+,protein_coding,yes,glyceraldehyde-3-phosphate dehydrogenase
HSPA5,6.56E-26,-1.484517525,0.422,0.719,2.50E-21,-0.297,1.924755891,7.184156558,ENSG00000044574,9,-,protein_coding,yes,heat shock protein family A (Hsp70) member 5
HSPA8,6.90E-26,-1.59680088,0.368,0.666,2.63E-21,-0.298,2.119543117,8.43573976,ENSG00000109971,11,-,protein_coding,yes,heat shock protein family A (Hsp70) member 8
PLK3,7.21E-26,-0.636897367,0.08,0.417,2.75E-21,-0.337,0.113706414,0.731792812,ENSG00000173846,1,+,protein_coding,no,polo like kinase 3
WTAP,1.07E-25,-1.095554575,0.214,0.58,4.09E-21,-0.366,0.626590847,2.475946739,ENSG00000146457,6,+,protein_coding,no,WT1 associated protein
H2AFZ,1.37E-25,-1.253666302,0.256,0.591,5.21E-21,-0.335,0.799295633,3.290359531,ENSG00000164032,4,-,protein_coding,no,H2A.Z variant histone 1
PPP1R10,1.56E-25,-0.814385402,0.188,0.57,5.96E-21,-0.382,0.473890762,1.591908887,ENSG00000204569,6,-,protein_coding,no,protein phosphatase 1 regulatory subunit 10
BRD2,1.69E-25,-1.058235211,0.359,0.69,6.45E-21,-0.331,1.331934745,3.855980502,ENSG00000204256,6,+,protein_coding,no,bromodomain containing 2
S100A10,2.26E-25,-1.903137002,0.376,0.709,8.63E-21,-0.333,1.771687017,9.366818882,ENSG00000197747,1,-,protein_coding,no,S100 calcium binding protein A10
NFATC1,3.69E-25,-0.674305312,0.048,0.366,1.41E-20,-0.318,0.133205078,0.808400577,ENSG00000131196,18,+,protein_coding,no,nuclear factor of activated T cells 1
CXCL2,4.13E-25,-1.675238523,0.108,0.465,1.58E-20,-0.357,0.80038412,4.749925516,ENSG00000081041,4,-,protein_coding,no,C-X-C motif chemokine ligand 2
CD55,4.94E-25,-1.374858982,0.305,0.628,1.88E-20,-0.323,0.935947657,4.020736211,ENSG00000196352,1,+,protein_coding,yes,CD55 molecule (Cromer blood group)
RPS12,5.61E-25,-1.059344434,0.712,0.909,2.14E-20,-0.197,12.12012003,26.34212464,ENSG00000112306,6,+,protein_coding,no,ribosomal protein S12
TAGLN2,7.30E-25,-0.98528104,0.439,0.757,2.78E-20,-0.318,2.065080681,5.067936927,ENSG00000158710,1,-,protein_coding,no,transgelin 2
EIF1,9.91E-25,-1.484388847,0.661,0.842,3.78E-20,-0.181,6.711016734,20.57531842,ENSG00000173812,17,+,protein_coding,no,eukaryotic translation initiation factor 1
IGFBP7,1.46E-24,-1.128475533,0.459,0.762,5.58E-20,-0.303,3.159009053,8.092741624,ENSG00000163453,4,-,protein_coding,no,insulin like growth factor binding protein 7
EEF1G,1.86E-24,-0.436885273,0.011,0.283,7.09E-20,-0.272,0.010244467,0.367546342,ENSG00000254772,11,-,protein_coding,no,eukaryotic translation elongation factor 1 gamma
CD59,2.14E-24,-0.929384571,0.778,0.917,8.18E-20,-0.139,7.335026655,14.87375329,ENSG00000085063,11,-,protein_coding,yes,CD59 molecule (CD59 blood group)
KLF6,3.40E-24,-1.090557593,0.328,0.693,1.30E-19,-0.365,1.604157923,4.545719062,ENSG00000067082,10,-,protein_coding,no,Kruppel like factor 6
EEF1B2,3.65E-24,-0.994573187,0.373,0.719,1.39E-19,-0.346,1.788706179,4.556471884,ENSG00000114942,2,+,protein_coding,no,eukaryotic translation elongation factor 1 beta 2
DYNLL1,4.47E-24,-1.393818304,0.291,0.623,1.71E-19,-0.332,1.230619414,4.861470662,ENSG00000088986,12,+,protein_coding,yes,dynein light chain LC8-type 1
H2AFX,4.51E-24,-0.824347287,0.1,0.422,1.72E-19,-0.322,0.163012454,1.059385382,ENSG00000188486,11,-,protein_coding,no,H2A.X variant histone
ATP1B3,5.67E-24,-0.911396078,0.197,0.556,2.16E-19,-0.359,0.550818954,1.916880638,ENSG00000069849,3,+,protein_coding,yes,ATPase Na+/K+ transporting subunit beta 3
INSIG1,6.62E-24,-0.608152088,0.08,0.412,2.53E-19,-0.332,0.181766634,0.801373396,ENSG00000186480,7,+,protein_coding,no,insulin induced gene 1
DDIT4,6.68E-24,-1.215175298,0.202,0.575,2.55E-19,-0.373,0.727969239,3.011808755,ENSG00000168209,10,+,protein_coding,no,DNA damage inducible transcript 4
AC016876.2,8.35E-24,-0.475975775,0.037,0.329,3.18E-19,-0.292,0.052176068,0.46342815,ENSG00000264772,17,+,lncRNA,no,novel transcript
TPI1,8.35E-24,-0.80045065,0.262,0.62,3.19E-19,-0.358,0.729399552,2.01200021,ENSG00000111669,12,+,protein_coding,no,triosephosphate isomerase 1
CNKSR3,1.16E-23,-0.603166233,0.057,0.372,4.42E-19,-0.315,0.14330013,0.736726301,ENSG00000153721,6,-,protein_coding,no,CNKSR family member 3
ANGPTL4,1.24E-23,-0.676500186,0.014,0.281,4.73E-19,-0.267,0.011048114,0.615915591,ENSG00000167772,19,+,protein_coding,no,angiopoietin like 4
KDM6B,1.27E-23,-0.954569545,0.125,0.463,4.83E-19,-0.338,0.307487943,1.533913343,ENSG00000132510,17,+,protein_coding,no,lysine demethylase 6B
PLK2,1.27E-23,-0.917157725,0.214,0.604,4.85E-19,-0.39,0.871967702,2.535007482,ENSG00000145632,5,-,protein_coding,no,polo like kinase 2
MALAT1,2.12E-23,0.722146545,0.963,0.968,8.07E-19,-0.005,712.6834184,431.6311991,ENSG00000251562,11,+,lncRNA,no,metastasis associated lung adenocarcinoma transcript 1
NPC2,2.18E-23,-0.987093924,0.305,0.652,8.30E-19,-0.347,0.95280254,2.870822091,ENSG00000119655,14,-,protein_coding,no,NPC intracellular cholesterol transporter 2
ITPRIP,2.33E-23,-0.944429926,0.219,0.594,8.88E-19,-0.375,0.721991107,2.313848431,ENSG00000148841,10,-,protein_coding,yes,"inositol 1,4,5-trisphosphate receptor interacting protein"
MLF1,2.86E-23,-0.614096457,0.031,0.313,1.09E-18,-0.282,0.028532378,0.574270734,ENSG00000178053,3,+,protein_coding,no,myeloid leukemia factor 1
GADD45A,3.05E-23,-1.05843695,0.151,0.492,1.16E-18,-0.341,0.497233253,2.11824859,ENSG00000116717,1,+,protein_coding,no,growth arrest and DNA damage inducible alpha
ODC1,4.58E-23,-0.779698972,0.054,0.353,1.75E-18,-0.299,0.09904554,0.886811291,ENSG00000115758,2,-,protein_coding,no,ornithine decarboxylase 1
HSPH1,5.00E-23,-0.855387808,0.197,0.561,1.91E-18,-0.364,1.222871991,3.021720099,ENSG00000120694,13,-,protein_coding,no,heat shock protein family H (Hsp110) member 1
TUBA1C,5.48E-23,-0.71969216,0.074,0.38,2.09E-18,-0.306,0.104190662,0.818414969,ENSG00000167553,12,+,protein_coding,no,tubulin alpha 1c
EPAS1,5.80E-23,1.040006637,0.915,0.912,2.21E-18,0.003,25.45814602,11.86726412,ENSG00000116016,2,+,protein_coding,no,endothelial PAS domain protein 1
CITED2,6.88E-23,-0.69426708,0.088,0.417,2.62E-18,-0.329,0.202691913,0.946030339,ENSG00000164442,6,-,protein_coding,no,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2
RPL36A,7.42E-23,-1.793090467,0.299,0.594,2.83E-18,-0.295,0.974165705,5.841599045,ENSG00000241343,X,+,protein_coding,yes,ribosomal protein L36a
IER5,7.85E-23,-0.962987632,0.162,0.5,2.99E-18,-0.338,0.590619499,2.100662271,ENSG00000162783,1,+,protein_coding,no,immediate early response 5
SDCBP,8.20E-23,-0.98274625,0.493,0.743,3.13E-18,-0.25,2.185488159,5.29523714,ENSG00000137575,8,+,protein_coding,yes,syndecan binding protein
RPS21,9.12E-23,-1.24675688,0.484,0.746,3.48E-18,-0.262,3.018690693,8.536649015,ENSG00000171858,20,+,protein_coding,no,ribosomal protein S21
PABPC1,1.25E-22,-0.819322401,0.487,0.759,4.78E-18,-0.272,2.443423864,5.076186615,ENSG00000070756,8,-,protein_coding,no,poly(A) binding protein cytoplasmic 1
EIF4A3,1.39E-22,-0.610953418,0.131,0.468,5.31E-18,-0.337,0.290858048,0.971486428,ENSG00000141543,17,-,protein_coding,no,eukaryotic translation initiation factor 4A3
HSPA2,1.76E-22,-0.591458421,0.071,0.382,6.72E-18,-0.311,0.139689762,0.717249398,ENSG00000126803,14,+,protein_coding,yes,heat shock protein family A (Hsp70) member 2
OSER1,2.12E-22,-0.538204862,0.063,0.356,8.10E-18,-0.293,0.069059907,0.552450816,ENSG00000132823,20,-,protein_coding,no,oxidative stress responsive serine rich 1
NFKBIZ,2.21E-22,-1.005418681,0.123,0.457,8.43E-18,-0.334,0.43413059,1.879054465,ENSG00000144802,3,+,protein_coding,no,NFKB inhibitor zeta
AC020916.1,2.68E-22,-0.737335124,0.023,0.289,1.02E-17,-0.266,0.056743313,0.761690035,ENSG00000267519,19,-,lncRNA,no,novel transcript
RPS10,2.87E-22,-1.493578496,0.328,0.626,1.10E-17,-0.298,1.459982416,5.926979955,ENSG00000124614,6,-,protein_coding,no,ribosomal protein S10
MANF,3.68E-22,-0.850328533,0.108,0.422,1.40E-17,-0.314,0.201687776,1.166536639,ENSG00000145050,3,+,protein_coding,no,mesencephalic astrocyte derived neurotrophic factor
RPLP1,3.93E-22,-0.926957354,0.783,0.925,1.50E-17,-0.142,14.8473583,29.12998015,ENSG00000137818,15,+,protein_coding,no,ribosomal protein lateral stalk subunit P1
MGP,3.94E-22,-2.052339132,0.581,0.797,1.50E-17,-0.216,11.39491905,50.41138869,ENSG00000111341,12,-,protein_coding,no,matrix Gla protein
MT-ND1,4.01E-22,-0.808249589,0.923,0.965,1.53E-17,-0.042,21.42339918,38.26529085,ENSG00000198888,MT,+,protein_coding,no,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1
SOX7,6.10E-22,-1.012416123,0.245,0.61,2.33E-17,-0.365,0.746436207,2.5230625,ENSG00000171056,8,-,protein_coding,no,SRY-box transcription factor 7
MAP3K8,6.58E-22,-0.621971033,0.1,0.422,2.51E-17,-0.322,0.274785248,0.96186431,ENSG00000107968,10,+,protein_coding,no,mitogen-activated protein kinase kinase kinase 8
CEBPD,6.99E-22,-1.064185952,0.39,0.741,2.67E-17,-0.351,2.342639269,5.989424266,ENSG00000221869,8,-,protein_coding,no,CCAAT enhancer binding protein delta
FTH1,8.92E-22,-1.229893027,0.664,0.845,3.40E-17,-0.181,6.978852638,17.71436678,ENSG00000167996,11,-,protein_coding,no,ferritin heavy chain 1
SNHG8,1.25E-21,-0.916638843,0.265,0.628,4.77E-17,-0.363,1.063551206,2.895390824,ENSG00000269893,4,+,lncRNA,no,small nucleolar RNA host gene 8
XBP1,1.59E-21,-0.829125798,0.171,0.503,6.06E-17,-0.332,0.521811432,1.703663125,ENSG00000100219,22,-,protein_coding,no,X-box binding protein 1
H3F3B,1.93E-21,-1.14370001,0.687,0.853,7.36E-17,-0.166,6.378869174,15.30338632,ENSG00000132475,17,-,protein_coding,no,H3.3 histone B
SAT1,2.48E-21,-1.27330414,0.501,0.781,9.45E-17,-0.28,3.396047467,9.625885039,ENSG00000130066,X,+,protein_coding,no,spermidine/spermine N1-acetyltransferase 1
LINC01833,2.60E-21,1.374799397,0.593,0.332,9.91E-17,0.261,3.588875996,0.769499586,ENSG00000259439,2,-,lncRNA,no,long intergenic non-protein coding RNA 1833
CSRP2,3.15E-21,-0.654421687,0.085,0.385,1.20E-16,-0.3,0.161247702,0.82778633,ENSG00000175183,12,-,protein_coding,no,cysteine and glycine rich protein 2
BAZ2B,3.26E-21,1.164365024,0.769,0.596,1.24E-16,0.173,6.750366991,2.457908278,ENSG00000123636,2,-,protein_coding,no,bromodomain adjacent to zinc finger domain 2B
FOSL1,3.28E-21,-0.378766899,0.011,0.251,1.25E-16,-0.24,0.006634119,0.308855928,ENSG00000175592,11,-,protein_coding,no,"FOS like 1, AP-1 transcription factor subunit"
FAM53C,5.30E-21,-0.429828671,0.088,0.406,2.02E-16,-0.318,0.298836184,0.749627927,ENSG00000120709,5,+,protein_coding,no,family with sequence similarity 53 member C
INTS6,7.20E-21,-0.986431095,0.279,0.628,2.75E-16,-0.349,1.099636915,3.159963767,ENSG00000102786,13,-,protein_coding,no,integrator complex subunit 6
CXCL12,7.74E-21,2.03762226,0.598,0.366,2.95E-16,0.232,8.473500147,1.307411465,ENSG00000107562,10,-,protein_coding,no,C-X-C motif chemokine ligand 12
BTG2,7.87E-21,-1.073169882,0.282,0.634,3.00E-16,-0.352,1.137298932,3.496986601,ENSG00000159388,1,+,protein_coding,no,BTG anti-proliferation factor 2
NEU1,9.32E-21,-0.63070059,0.105,0.412,3.55E-16,-0.307,0.167674755,0.807930315,ENSG00000204386,6,-,protein_coding,yes,neuraminidase 1
