gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,delta.pct,exp.group1,exp.group2,ensembl_id,chromosome,strand,gene_biotype,membrane_protein,description
XIST,7.72E-29,-1.700728393,0,0.253,2.94E-24,-0.253,0,2.250650371,ENSG00000229807,X,-,lncRNA,no,X inactive specific transcript
NDNF,8.26E-29,-0.950267211,0.303,0.684,3.15E-24,-0.381,0.713241409,2.310377313,ENSG00000173376,4,-,protein_coding,no,neuron derived neurotrophic factor
FAM162A,1.92E-28,-0.920565451,0.468,0.75,7.34E-24,-0.282,1.275626495,3.307435624,ENSG00000114023,3,+,protein_coding,no,family with sequence similarity 162 member A
RHO,2.89E-28,1.246175921,0.704,0.289,1.10E-23,0.415,10.52178108,3.857169812,ENSG00000163914,3,+,protein_coding,yes,rhodopsin
HIF1A-AS2,4.91E-28,-0.540195063,0.038,0.342,1.87E-23,-0.304,0.086336229,0.579716596,ENSG00000258667,14,-,lncRNA,no,HIF1A antisense RNA 3
DDT,5.49E-28,-0.779486456,0.31,0.661,2.09E-23,-0.351,0.703838212,1.92467194,ENSG00000099977,22,-,protein_coding,no,D-dopachrome tautomerase
PLCG2,8.24E-28,1.513395807,0.785,0.664,3.14E-23,0.121,8.562066704,2.34945568,ENSG00000197943,16,+,protein_coding,yes,phospholipase C gamma 2
SNCG,1.19E-27,-1.399520773,0.143,0.503,4.53E-23,-0.36,0.450928514,2.82775161,ENSG00000173267,10,+,protein_coding,no,synuclein gamma
PVALB,1.21E-27,-1.427748373,0.219,0.579,4.62E-23,-0.36,0.641470146,3.415989937,ENSG00000100362,22,-,protein_coding,no,parvalbumin
ADM,1.51E-27,-0.642828545,0.02,0.293,5.75E-23,-0.273,0.021441384,0.59486572,ENSG00000148926,11,+,protein_coding,no,adrenomedullin
POU2AF1,1.62E-27,-0.946660041,0.09,0.424,6.16E-23,-0.334,0.27491414,1.45727638,ENSG00000110777,11,-,protein_coding,no,POU class 2 homeobox associating factor 1
MAFB,2.26E-27,-0.608827558,0.002,0.247,8.60E-23,-0.245,0.001259362,0.526939911,ENSG00000204103,20,-,protein_coding,no,MAF bZIP transcription factor B
MT-ND4L,9.45E-27,1.356928157,0.862,0.882,3.61E-22,-0.02,21.61271138,7.828289426,ENSG00000212907,MT,+,protein_coding,no,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L
MT-ND1,1.01E-26,1.085737235,0.968,0.967,3.86E-22,0.001,62.92493261,29.1183242,ENSG00000198888,MT,+,protein_coding,no,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1
HSP90B1,1.06E-26,-0.942220223,0.52,0.803,4.03E-22,-0.283,1.54832767,3.896568331,ENSG00000166598,12,+,protein_coding,yes,heat shock protein 90 beta family member 1
VEGFA,1.58E-26,-0.84624837,0.172,0.526,6.03E-22,-0.354,0.318363685,1.370180251,ENSG00000112715,6,+,protein_coding,no,vascular endothelial growth factor A
GPI,1.73E-26,-0.738517482,0.441,0.753,6.61E-22,-0.312,0.995873685,2.330036292,ENSG00000105220,19,+,protein_coding,yes,glucose-6-phosphate isomerase
GADD45G,8.74E-26,-0.882538056,0.05,0.339,3.33E-21,-0.289,0.137111558,1.096396862,ENSG00000130222,9,+,protein_coding,no,growth arrest and DNA damage inducible gamma
IER5,2.02E-25,-0.693152774,0.057,0.349,7.71E-21,-0.292,0.105462521,0.78732611,ENSG00000162783,1,+,protein_coding,no,immediate early response 5
CA2,7.20E-25,1.050778096,0.842,0.75,2.75E-20,0.092,7.997425022,3.343126815,ENSG00000104267,8,+,protein_coding,yes,carbonic anhydrase 2
ZFAND2A,8.10E-25,-0.702381915,0.068,0.355,3.09E-20,-0.287,0.082762381,0.761859138,ENSG00000178381,7,-,protein_coding,no,zinc finger AN1-type containing 2A
EGR1,1.24E-24,-0.822305287,0.005,0.23,4.73E-20,-0.225,0.006194459,0.779182419,ENSG00000120738,5,+,protein_coding,no,early growth response 1
DNAJA1,3.17E-24,-1.025679089,0.64,0.832,1.21E-19,-0.192,2.452316403,6.028631322,ENSG00000086061,9,+,protein_coding,no,DnaJ heat shock protein family (Hsp40) member A1
HSPA5,5.35E-24,-1.331827347,0.473,0.743,2.04E-19,-0.27,1.170289004,4.463079877,ENSG00000044574,9,-,protein_coding,yes,heat shock protein family A (Hsp70) member 5
COX8A,6.05E-24,-0.662338991,0.622,0.855,2.31E-19,-0.233,2.738118484,4.916119888,ENSG00000176340,11,+,protein_coding,no,cytochrome c oxidase subunit 8A
RTBDN,6.22E-24,-0.678976243,0.871,0.957,2.37E-19,-0.086,9.331592167,15.54091271,ENSG00000132026,19,-,protein_coding,no,retbindin
MIF,7.86E-24,-0.719844025,0.541,0.826,3.00E-19,-0.285,2.282891652,4.406935556,ENSG00000240972,22,+,protein_coding,yes,macrophage migration inhibitory factor
NEFL,9.14E-24,-1.21460441,0.229,0.586,3.49E-19,-0.357,0.746889443,3.054131027,ENSG00000277586,8,-,protein_coding,no,neurofilament light
PPP1R3C,1.04E-23,-0.552171246,0.027,0.28,3.96E-19,-0.253,0.048081359,0.536792047,ENSG00000119938,10,-,protein_coding,no,protein phosphatase 1 regulatory subunit 3C
LMO4,1.65E-23,-0.744204152,0.367,0.714,6.29E-19,-0.347,0.905672667,2.192096982,ENSG00000143013,1,+,protein_coding,no,LIM domain only 4
TXNIP,2.94E-23,0.904543844,0.441,0.112,1.12E-18,0.329,1.21094452,0.181090062,ENSG00000265972,1,-,protein_coding,no,thioredoxin interacting protein
GAS7,2.95E-23,1.04720025,0.751,0.533,1.12E-18,0.218,4.178184219,1.505756179,ENSG00000007237,17,-,protein_coding,yes,growth arrest specific 7
PDK1,3.62E-23,-0.767450354,0.238,0.582,1.38E-18,-0.344,0.488957218,1.534590461,ENSG00000152256,2,+,protein_coding,no,pyruvate dehydrogenase kinase 1
OTUD6B-AS1,3.64E-23,-0.730759119,0.645,0.852,1.39E-18,-0.207,2.288277697,4.456936515,ENSG00000253738,8,-,lncRNA,no,OTUD6B antisense RNA 1 (head to head)
NPAS4,4.05E-23,-0.513852207,0.002,0.211,1.55E-18,-0.209,0.001882389,0.430545483,ENSG00000174576,11,+,protein_coding,no,neuronal PAS domain protein 4
HMGN1,4.10E-23,-0.600383551,0.896,0.954,1.56E-18,-0.058,9.178663034,14.43207037,ENSG00000205581,21,-,protein_coding,no,high mobility group nucleosome binding domain 1
RPL32,4.19E-23,-0.704931821,0.912,0.938,1.60E-18,-0.026,10.50425674,17.7527165,ENSG00000144713,3,-,protein_coding,no,ribosomal protein L32
ACTG1,4.60E-23,-0.701633417,0.828,0.928,1.75E-18,-0.1,6.584601463,11.3351794,ENSG00000184009,17,-,protein_coding,yes,actin gamma 1
TAPT1,4.67E-23,-0.736585632,0.627,0.868,1.78E-18,-0.241,2.372028968,4.618568326,ENSG00000169762,4,-,protein_coding,no,transmembrane anterior posterior transformation 1
C17orf67,4.82E-23,-0.560940829,0.061,0.339,1.84E-18,-0.278,0.107311233,0.633539804,ENSG00000214226,17,-,protein_coding,no,chromosome 17 open reading frame 67
FAM138E,6.07E-23,0.743834273,0.391,0.072,2.32E-18,0.319,0.822182867,0.088116838,ENSG00000248893,15,+,lncRNA,no,family with sequence similarity 138 member E
SAT1,7.28E-23,-0.848862681,0.301,0.612,2.78E-18,-0.311,0.641737864,1.956902088,ENSG00000130066,X,+,protein_coding,no,spermidine/spermine N1-acetyltransferase 1
IFI27,7.37E-23,-0.577297534,0.12,0.428,2.81E-18,-0.308,0.200024997,0.790499345,ENSG00000165949,14,+,protein_coding,no,interferon alpha inducible protein 27
NR4A1,1.31E-22,-0.466875635,0.02,0.253,4.98E-18,-0.233,0.021689638,0.412090591,ENSG00000123358,12,+,protein_coding,no,nuclear receptor subfamily 4 group A member 1
GNGT1,1.47E-22,0.063391148,0.611,0.22,5.60E-18,0.391,4.439240149,4.20541785,ENSG00000127928,7,+,protein_coding,yes,G protein subunit gamma transducin 1
RAB17,1.48E-22,-0.817975545,0.023,0.26,5.64E-18,-0.237,0.067547764,0.882012441,ENSG00000124839,2,-,protein_coding,no,"RAB17, member RAS oncogene family"
TMSB10,1.64E-22,-1.03396924,0.19,0.52,6.26E-18,-0.33,0.539861596,2.153097814,ENSG00000034510,2,+,protein_coding,no,thymosin beta 10
RPL21,2.48E-22,-0.739410082,0.928,0.938,9.47E-18,-0.01,10.24203308,17.76849602,ENSG00000122026,13,+,protein_coding,no,ribosomal protein L21
INSIG1,2.57E-22,-0.562952335,0.025,0.26,9.79E-18,-0.235,0.029687822,0.521146755,ENSG00000186480,7,+,protein_coding,no,insulin induced gene 1
AC084866.2,3.33E-22,-0.590848891,0.174,0.493,1.27E-17,-0.319,0.32155005,0.990429751,ENSG00000251200,4,+,lncRNA,no,novel transcript
ATP5MD,3.58E-22,-0.600418512,0.584,0.836,1.37E-17,-0.252,2.387111336,4.135390277,ENSG00000173915,10,-,protein_coding,no,ATP synthase membrane subunit DAPIT
AK4,4.13E-22,-0.458971329,0.066,0.349,1.58E-17,-0.283,0.108516062,0.523723366,ENSG00000162433,1,+,protein_coding,no,adenylate kinase 4
RPS14,4.62E-22,-0.748757183,0.905,0.908,1.76E-17,-0.003,8.184781689,14.43359891,ENSG00000164587,5,-,protein_coding,no,ribosomal protein S14
ACTB,4.93E-22,-0.697783508,0.511,0.783,1.88E-17,-0.272,1.525266623,3.096009968,ENSG00000075624,7,-,protein_coding,yes,actin beta
LNP1,6.28E-22,-0.716339219,0.36,0.651,2.40E-17,-0.291,0.821284796,1.992384898,ENSG00000206535,3,+,protein_coding,no,leukemia NUP98 fusion partner 1
AC023905.1,6.80E-22,0.728031915,0.923,0.865,2.59E-17,0.058,12.90906432,7.39727684,ENSG00000259221,15,-,lncRNA,no,"novel transcript, antisense to SEMA6D"
BLOC1S1,1.60E-21,-0.555928555,0.394,0.681,6.09E-17,-0.287,1.086815548,2.067857863,ENSG00000135441,12,+,protein_coding,no,biogenesis of lysosomal organelles complex 1 subunit 1
P4HA2,2.36E-21,-0.485158667,0.066,0.329,9.02E-17,-0.263,0.090591967,0.526544981,ENSG00000072682,5,-,protein_coding,no,prolyl 4-hydroxylase subunit alpha 2
NEUROD1,3.00E-21,-0.876029411,0.683,0.868,1.14E-16,-0.185,2.545304665,5.506758558,ENSG00000162992,2,-,protein_coding,no,neuronal differentiation 1
BAG3,3.56E-21,-0.602249394,0.018,0.234,1.36E-16,-0.216,0.016368798,0.542930829,ENSG00000151929,10,+,protein_coding,yes,BAG cochaperone 3
PARD6G-AS1,3.62E-21,-0.574123626,0.048,0.293,1.38E-16,-0.245,0.056536487,0.57294281,ENSG00000267270,18,+,lncRNA,no,PARD6G antisense RNA 1
CITED2,3.90E-21,-0.59653649,0.075,0.345,1.49E-16,-0.27,0.126396453,0.703203933,ENSG00000164442,6,-,protein_coding,no,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2
CACYBP,4.71E-21,-0.693257612,0.471,0.747,1.79E-16,-0.276,1.353438728,2.805346708,ENSG00000116161,1,+,protein_coding,no,calcyclin binding protein
MTRNR2L1,4.73E-21,0.697323301,0.511,0.155,1.80E-16,0.356,1.348176732,0.448156674,ENSG00000256618,17,+,protein_coding,no,MT-RNR2 like 1
DEPP1,5.27E-21,-0.565037913,0.084,0.352,2.01E-16,-0.268,0.104377512,0.633845232,ENSG00000165507,10,-,protein_coding,no,DEPP1 autophagy regulator
RPL26,5.70E-21,-0.767840686,0.824,0.891,2.17E-16,-0.067,6.718421105,12.14230518,ENSG00000161970,17,-,protein_coding,no,ribosomal protein L26
RPL35,6.08E-21,-0.551204834,0.855,0.918,2.32E-16,-0.063,6.38321513,9.818690874,ENSG00000136942,9,-,protein_coding,no,ribosomal protein L35
PFKFB3,6.36E-21,-0.90972859,0.369,0.688,2.43E-16,-0.319,0.803315328,2.387874137,ENSG00000170525,10,+,protein_coding,no,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3"
RHOB,7.51E-21,-0.452684534,0.034,0.27,2.86E-16,-0.236,0.045696753,0.431124388,ENSG00000143878,2,+,protein_coding,yes,ras homolog family member B
AMPD2,8.59E-21,-0.864661921,0.371,0.681,3.28E-16,-0.31,0.806883519,2.290177521,ENSG00000116337,1,+,protein_coding,no,adenosine monophosphate deaminase 2
GNB3,9.76E-21,-0.545679991,0.946,0.977,3.72E-16,-0.031,16.45806789,24.48368472,ENSG00000111664,12,+,protein_coding,yes,G protein subunit beta 3
PDC,1.15E-20,0.631828974,0.95,0.954,4.39E-16,-0.004,20.73893367,13.02938922,ENSG00000116703,1,-,protein_coding,no,phosducin
GSTP1,1.15E-20,-0.667325977,0.618,0.829,4.40E-16,-0.211,2.651334113,4.798781043,ENSG00000084207,11,+,protein_coding,yes,glutathione S-transferase pi 1
FTH1,1.76E-20,-0.585009853,0.966,0.98,6.71E-16,-0.014,15.80836436,24.21337409,ENSG00000167996,11,-,protein_coding,no,ferritin heavy chain 1
SLC38A2,1.90E-20,-0.789183004,0.208,0.507,7.24E-16,-0.299,0.294862452,1.237646064,ENSG00000134294,12,-,protein_coding,yes,solute carrier family 38 member 2
AP000911.1,2.69E-20,-0.699303306,0.025,0.24,1.03E-15,-0.215,0.027500128,0.668373011,ENSG00000204241,11,+,lncRNA,no,long intergenic non-protein coding RNA 2731
NRL,3.45E-20,0.643771243,0.563,0.22,1.32E-15,0.343,5.423825597,3.111490461,ENSG00000129535,14,-,protein_coding,no,neural retina leucine zipper
SERTAD1,3.95E-20,-0.352495164,0.002,0.184,1.51E-15,-0.182,0.001405856,0.278561857,ENSG00000197019,19,-,protein_coding,no,SERTA domain containing 1
DDIT4L,3.99E-20,-0.860713116,0.097,0.372,1.52E-15,-0.275,0.321692347,1.40010831,ENSG00000145358,4,-,protein_coding,no,DNA damage inducible transcript 4 like
ALDOA,4.18E-20,-0.507911833,0.131,0.418,1.59E-15,-0.287,0.194721181,0.698882176,ENSG00000149925,16,+,protein_coding,no,"aldolase, fructose-bisphosphate A"
RPL30,4.77E-20,-0.670560169,0.839,0.901,1.82E-15,-0.062,6.286377773,10.59766096,ENSG00000156482,8,-,protein_coding,no,ribosomal protein L30
NECAP2,6.27E-20,-0.75744881,0.09,0.352,2.39E-15,-0.262,0.13041251,0.910960751,ENSG00000157191,1,+,protein_coding,no,NECAP endocytosis associated 2
RAB33A,6.52E-20,-0.282011755,0.014,0.217,2.49E-15,-0.203,0.053725247,0.281213137,ENSG00000134594,X,+,protein_coding,yes,"RAB33A, member RAS oncogene family"
NRN1,7.21E-20,-0.652423253,0.034,0.257,2.75E-15,-0.223,0.059701746,0.665645665,ENSG00000124785,6,-,protein_coding,yes,neuritin 1
UQCRB,7.97E-20,-0.51648929,0.925,0.928,3.04E-15,-0.003,10.0822501,14.85282684,ENSG00000156467,8,-,protein_coding,no,ubiquinol-cytochrome c reductase binding protein
NDUFB8,8.47E-20,-0.529872728,0.627,0.829,3.23E-15,-0.202,2.623039425,4.230950916,ENSG00000166136,10,-,protein_coding,no,NADH:ubiquinone oxidoreductase subunit B8
SLIRP,8.91E-20,-0.546670961,0.516,0.793,3.40E-15,-0.277,1.905405929,3.243958959,ENSG00000119705,14,+,protein_coding,no,SRA stem-loop interacting RNA binding protein
COX5B,9.01E-20,-0.535803713,0.726,0.865,3.44E-15,-0.139,4.79410868,7.400006584,ENSG00000135940,2,+,protein_coding,no,cytochrome c oxidase subunit 5B
SPAG4,1.12E-19,-0.407042464,0.025,0.24,4.29E-15,-0.215,0.104266951,0.464219093,ENSG00000061656,20,+,protein_coding,no,sperm associated antigen 4
MT-ND5,1.46E-19,0.989978724,0.937,0.954,5.57E-15,-0.017,47.1929009,23.26441235,ENSG00000198786,MT,+,protein_coding,no,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5
JUND,1.55E-19,-0.793769348,0.471,0.747,5.93E-15,-0.276,1.130357211,2.693182883,ENSG00000130522,19,-,protein_coding,no,"JunD proto-oncogene, AP-1 transcription factor subunit"
HSP90AA1,1.64E-19,-0.587680133,0.991,1,6.24E-15,-0.009,35.20091276,53.40375406,ENSG00000080824,14,-,protein_coding,yes,heat shock protein 90 alpha family class A member 1
BTF3,1.72E-19,-0.52871833,0.525,0.776,6.55E-15,-0.251,1.701262021,2.896967548,ENSG00000145741,5,+,protein_coding,no,basic transcription factor 3
NEFM,2.82E-19,-0.563224792,0.113,0.391,1.08E-14,-0.278,0.471336294,1.173999825,ENSG00000104722,8,+,protein_coding,no,neurofilament medium
RDH8,3.08E-19,-0.555892069,0.285,0.592,1.17E-14,-0.307,0.618262613,1.378971218,ENSG00000080511,19,+,protein_coding,no,retinol dehydrogenase 8
RPL34,4.11E-19,-0.681101391,0.928,0.928,1.57E-14,0,10.29948006,17.11717207,ENSG00000109475,4,+,protein_coding,no,ribosomal protein L34
BAMBI,4.42E-19,-0.368534929,0.007,0.188,1.69E-14,-0.181,0.006126763,0.298951003,ENSG00000095739,10,+,protein_coding,yes,BMP and activin membrane bound inhibitor
RPS23,4.74E-19,-0.720134134,0.932,0.931,1.81E-14,0.001,11.70358208,19.92705777,ENSG00000186468,5,-,protein_coding,no,ribosomal protein S23
HERPUD1,4.81E-19,-0.874691442,0.222,0.503,1.83E-14,-0.281,0.35382685,1.482398408,ENSG00000051108,16,+,protein_coding,no,homocysteine inducible ER protein with ubiquitin like domain 1
POLE4,5.54E-19,-0.659192493,0.543,0.76,2.11E-14,-0.217,1.83829127,3.482225218,ENSG00000115350,2,+,protein_coding,no,"DNA polymerase epsilon 4, accessory subunit"
ARL4A,5.67E-19,-0.730922286,0.143,0.414,2.16E-14,-0.271,0.195560675,0.984271772,ENSG00000122644,7,+,protein_coding,yes,ADP ribosylation factor like GTPase 4A
SOCS1,6.56E-19,-0.467040685,0.029,0.24,2.50E-14,-0.211,0.039413064,0.43675073,ENSG00000185338,16,-,protein_coding,no,suppressor of cytokine signaling 1
SLC39A5,7.71E-19,0.877048911,0.412,0.135,2.94E-14,0.277,1.126579588,0.157880156,ENSG00000139540,12,+,protein_coding,no,solute carrier family 39 member 5
RPS10,7.86E-19,-0.498525899,0.455,0.717,3.00E-14,-0.262,1.454379199,2.467471585,ENSG00000124614,6,-,protein_coding,no,ribosomal protein S10
RPL10,9.07E-19,-0.602913842,0.952,0.944,3.46E-14,0.008,12.10091245,18.89741671,ENSG00000147403,X,+,protein_coding,no,ribosomal protein L10
